"Ano_notificacao","Diag/Ign/Branco","Laboratorio","Clínico-epidemiológico","Total","Desf/Ign/Branco","Cura","Óbito pelo agravo notificado","Óbito por outra causa","Casos/Confi/Ign/Branco","Confirmado","Descartado","Inconclusivo","Gestação/Ign/Branco","Não","Não se Aplica","Total","Sex/Ign","Masculino","Feminino","Raça/Ign/Branco","Branca","Preta","Amarela","Parda","Indigena","Escolaridade/Ign/Branco","Analfabeto","1ª a 4ª série incompleta do EF","4ª série completa do EF","5ª a 8ª série incompleta do EF","Ensino fundamental completo","Ensino médio incompleto","ensinomedio","Educação superior incompleta","faculdade","Não se aplica","RO","AC","AM","RR","PA","AP","TO","MA","PI","CE","RN","PB","PE","AL","SE","BA","MG","ES","RJ","SP","PR","SC","RS","MS","MT","GO","DF","1 Região Norte","2 Região Nordeste","3 Região Sudeste","4 Região Sul","5 Região Centro-Oeste","Idade/IGN","<1 Ano","1-4 anos","5-9 anos","10-14 anos","idade1","idade2","40-59 anos","60-64 anos","65-69 anos","70+ anos"
"2010","1647","696","181","2524","1901","622","1","-","201","857","20","1446","263","584","1677","2524","-","1564","960","1123","600","195","11","572","23","1512","23","118","98","251","176","85","192","22","47","-","7","4","74","-","21","1","-","2","1","152","4","10","5","7","6","44","97","46","1088","343","35","28","112","328","11","90","8","107","231","1574","175","437","5","-","-","14","161","1439","745","69","34","41","16"
"2011","6224","8823","1358","16405","10603","5788","7","7","462","10179","199","5565","914","4918","10573","16405","1","9869","6535","3455","6241","1457","80","5062","110","6236","281","1276","877","2135","1534","1064","2188","329","479","6","41","7","267","6","131","2","31","16","69","638","134","118","370","19","292","282","692","912","1437","8793","374","227","740","495","122","133","57","485","1938","11834","1341","807","1","3","-","94","1087","8260","5248","693","437","445","137"
"2012","10249","14556","1816","26621","16407","10180","10","24","678","16275","218","9450","1496","7485","17640","26621","7","16118","10496","5483","10168","2478","140","8202","150","9402","368","2111","1355","3582","2277","1729","4154","674","959","10","64","3","613","6","116","1","40","47","46","474","265","133","399","35","512","460","1506","1421","1731","13883","744","493","2449","798","156","172","54","843","2371","18541","3686","1180","3","10","2","128","1947","13600","8186","1122","719","685","219"
"2013","14906","21061","2331","38298","22241","16018","9","30","1714","23287","329","12968","2230","10277","25791","38298","8","22820","15470","7373","15081","3436","212","12032","164","13573","552","2751","1748","5217","3324","2727","5966","1058","1369","13","107","23","936","5","227","29","118","99","62","503","309","136","352","54","929","900","2219","1920","3138","18579","1361","1378","3242","1048","203","319","102","1445","3344","25856","5981","1672","4","10","1","197","3164","19780","11431","1507","994","924","285"
"2014","16616","28885","3402","48903","27066","21753","17","67","1430","32284","359","14830","2219","12543","34141","48903","25","29454","19424","8828","19359","4454","284","15767","211","17217","624","3247","2043","6626","4024","3847","7898","1466","1897","14","155","49","848","41","384","31","178","271","112","483","350","142","465","67","942","1417","3336","2369","2975","22496","2213","1948","5601","1125","310","431","164","1686","4249","31176","9762","2030","5","8","-","260","4358","26718","13311","1745","1121","1054","321"
"2015","22156","41602","4311","68069","37790","30178","27","74","2215","45787","623","19444","2788","16283","48998","68069","15","41168","26886","12845","27182","6197","431","21125","289","25036","834","4009","2651","8556","5477","5504","11047","2249","2687","19","314","84","752","99","434","78","329","561","126","648","573","273","1220","87","987","2141","5456","2453","3984","26992","4067","3011","9928","1146","640","1051","635","2090","6616","38885","17006","3472","6","-","-","310","6590","37771","17546","2426","1534","1424","462"
"2016","25173","58102","6669","89944","48436","41369","28","111","2633","64590","1026","21695","3659","21719","64566","89944","38","53353","36553","16228","34501","8467","556","29700","492","33870","1065","4798","3123","11173","6765","7875","15000","2937","3313","25","695","132","1020","247","1015","184","703","842","189","1033","801","165","2431","258","856","3482","7341","3413","7121","30914","5423","5394","10814","1350","839","1777","1505","3996","10057","48789","21631","5471","3","-","-","445","9236","50733","22075","3009","1960","1861","622"
"2017","29908","80965","9874","120747","61364","59202","55","126","2858","91047","1697","25145","4855","26776","89116","120747","46","70870","49831","19162","46446","11844","981","41678","636","44761","1368","6594","4088","14355","9472","10759","20770","3966","4569","45","730","325","1688","172","1699","259","1070","1194","372","1699","1442","1000","3039","465","1152","4679","10681","3593","11951","36989","7461","8306","12981","2987","962","2137","1714","5943","15042","63214","28748","7800","7","-","-","614","12950","68720","28427","3997","2714","2512","806"
"2018","36730","107606","14993","159329","77119","81924","77","209","3089","123332","1575","31333","6430","33427","119472","159329","73","94679","64577","24043","58033","16392","1415","58346","1100","58654","1897","8650","5304","18186","12241","14676","28510","5043","6099","69","1119","486","3257","650","2552","414","1278","1771","814","2711","1678","1507","7372","540","830","9401","14397","4508","15631","37779","10275","11956","15579","4440","1758","4758","1868","9756","26624","72315","37810","12824","8","-","-","808","16115","90903","37791","5456","3676","3494","1078"
"2019","36373","108890","12761","158024","77895","79873","75","181","3872","122266","1170","30716","6348","32040","119636","158024","151","94647","63226","24033","55873","16014","1326","60000","778","56976","1734","7585","4814","16766","11992","14868","30904","5356","6963","66","943","299","4473","652","2677","491","1450","1742","1133","3071","1788","1826","8074","410","568","6545","15135","5016","16915","36136","10864","10494","14828","3300","1858","5216","2120","10985","25157","73202","36186","12494","60","-","-","743","15889","91574","36432","5107","3588","3548","1083"
"2020","29070","81087","7879","118036","59578","58222","64","172","5712","89646","808","21870","3866","22509","91661","118036","155","74145","43736","15216","41776","12717","1312","46474","541","43114","909","4568","3022","10787","8369","11016","25612","4340","6258","41","971","221","3239","411","2305","303","938","1230","588","2509","1492","912","4468","236","626","3640","12191","3169","13938","26976","7194","8284","12233","2277","1328","4064","2293","8388","15701","56274","27711","9962","3027","-","-","557","11109","70228","24806","3200","2218","2200","691"
"2021","15692","45074","3513","64279","33225","30931","21","102","4688","48890","405","10296","1890","12450","49939","64279","100","40514","23665","8031","22377","7113","772","25657","329","23419","456","2173","1427","5529","4360","6125","14540","2458","3774","18","616","408","1587","189","1480","240","618","672","291","1216","1014","465","3087","115","722","2612","6101","1820","6150","16036","3164","4904","5864","988","370","2451","1099","5138","10194","30107","13932","4908","1822","-","-","273","5897","39244","12909","1579","1101","1112","342"
